Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,270pF,C_0402_1005Metric,121.1,-82,0,top
C2,10uF,C_0402_1005Metric,117.9,-52.4,90,top
C3,4.7uF,C_0402_1005Metric,117.9,-54.6,-90,top
C4,270pF,C_0402_1005Metric,118.7,-64.7,90,top
C5,82pF,C_0402_1005Metric,117.2,-64.2,0,top
C6,2.2nF,C_0603_1608Metric,108.9,-77.31,180,top
C7,2.2nF,C_0603_1608Metric,108.9,-78.81,180,top
C8,15nF,C_0402_1005Metric,120.1,-64.7,-90,top
C9,2.2uF/50V,C_1206_3216Metric,140.5,-65.75,-90,top
C10,2.2uF/16V,C_0402_1005Metric,111.05,-72.090001,180,top
C11,4.7uF/50V,C_1206_3216Metric,125,-82.2,-90,top
C12,1uF,C_0402_1005Metric,111.4,-76.54,180,top
C13,1uF,C_0402_1005Metric,111.4,-79.590001,180,top
C14,100nF/50V,C_0603_1608Metric,122.95,-82.049999,-90,top
C15,2.2uF/50V,C_1206_3216Metric,132.75,-74.8,180,top
C16,100nF/50V,C_0603_1608Metric,122.2,-64.819999,180,top
C17,4.7uF/50V,C_1206_3216Metric,126.5,-66.069999,0,top
C18,22nF,C_0402_1005Metric,111.5,-73.56,-90,top
C19,100nF/50V,C_0603_1608Metric,126.9,-68.1,0,top
C20,2.2nF,C_0603_1608Metric,126.8,-77.85,180,top
C21,2.2nF,C_0603_1608Metric,127.2,-80.6,-90,top
C22,100nF/50V,C_0603_1608Metric,126.9,-70.3,180,top
C23,100nF/50V,C_0603_1608Metric,126.9,-72.8,180,top
C24,100nF/50V,C_0603_1608Metric,126.9,-74.8,180,top
C25,68uF,CP_EIA-6032-28_Kemet-C,123.2,-52.8,180,top
C26,47uF/50V,CP_Elec_6.3x7.7,133.7,-64.8,0,top
C27,2.2uF/50V,C_1206_3216Metric,132.2,-87.2,180,top
C33,2.2uF/16V,C_0402_1005Metric,138.5,-70.75,90,top
C36,100nF,C_0402_1005Metric,118.726776,-85.312815,135,top
C37,12pF,C_0402_1005Metric,123.85,-98.5,90,top
C38,12pF,C_0402_1005Metric,123.85,-96.5,90,top
C39,100nF,C_0402_1005Metric,112.362815,-91.323223,-135,top
C40,100nF,C_0402_1005Metric,118.4,-98.1,-45,top
C41,100nF,C_0402_1005Metric,119.405599,-97.6589,-45,top
C42,100nF,C_0402_1005Metric,122.085533,-85.843145,45,top
C43,1uF,C_0402_1005Metric,122.79264,-86.550252,45,top
C44,100nF,C_0402_1005Metric,108.2,-85.65,0,top
C45,100nF,C_0402_1005Metric,107.1,-95.3,-90,top
C46,100nF,C_0402_1005Metric,109.9,-89.35,-90,top
C47,22pF,C_0402_1005Metric,103.2,-85,180,top
C48,22pF,C_0402_1005Metric,103.2,-79.6,180,top
D1,SS34,D_SMA,117,-60.1,90,top
J2,Debug,PinHeader_1x06_P2.54mm_Vertical,129.9,-98.2,90,top
J3,Conn_01x02,AMASS_XT60-M_1x02_P7.20mm_Vertical,132.55,-54.799999,0,top
J4,Conn_01x09,JST_GH_SM09B-GHS-TB_1x09-1MP_P1.25mm_Horizontal,103.2,-63.15,-90,top
J5,Conn_01x03,AMASS MR30PB-F,146.75,-78,-90,top
J6,Conn_02x02_Top_Bottom,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,109.6,-53.2,180,top
L1,22uH/1.5A,L_Bourns-SRN8040_8x8.15mm,123.3,-59.299999,90,top
LD1,LED_BAGR,RGB LED 1.6x1.6mm,106.6,-98.4,180,top
Q1,CSD18540Q5B,TDSON-8-1,145.8,-62.75,90,top
Q2,CSD18540Q5B,TDSON-8-1,145.8,-68.55,-90,top
Q3,CSD18540Q5B,TDSON-8-1,140,-74.7,90,top
Q4,CSD18540Q5B,TDSON-8-1,140,-80.75,-90,top
Q5,CSD18540Q5B,TDSON-8-1,140,-86.75,90,top
Q6,CSD18540Q5B,TDSON-8-1,146.75,-88.25,0,top
